character;rank;LWO;rank_median;definition;pinyin;decomposition;radical;type;phonetic;semantic;freq1;freq2
的;1;8;4;aim, goal/ of/ possessive particle/ -self suffix;de;⿰白勺;白;;;;7922684;4,0943253178
一;2;27;14;one/ a, an/ alone;yī;？;一;ideographic;;;3050722;5,6708930974
是;3;17;10;to be/ indeed, right, yes/ okay;shì;⿱日疋;日;ideographic;;;2615490;7,0225394493
不;4;21;12;no, not, un-/ negative prefix;bù;⿱一？;一;ideographic;;;2237915;8,1790606539
了;5;18;12;clear/ to finish/ particle of completed action;le/liǎo;⿱乛亅;亅;pictographic;;;2128528;9,279052283
在;6;30;18;at, in, on/ to exist/ used to indicate the present progressive tense;zài;⿸才土;土;pictophonetic;才;土;2009181;10,317367157
人;7;9;8;man, person/ people;rén;？;人;pictographic;;;1867999;11,282721271
有;8;33;20;to have, to own, to possess/ to exist;yǒu;⿸？月;月;pictophonetic;月;;1782004;12,203634449
我;9;3;6;I, me, my/ our, us;wǒ;⿰扌戈;戈;ideographic;;;1690048;13,077026132
他;10;26;18;other, another/ he, she, it;tā;⿰亻也;亻;ideographic;;;1595761;13,901691695
这;11;24;18;this, these/ such/ here;zhè;⿺辶文;辶;;;;1552042;14,703763929
个;12;42;27;this, that/ single/ measure word for individuals;gè;⿱人丨;丨;ideographic;;;1199580;15,323689041
们;13;20;16;plural marker for pronouns and some nouns;men;⿰亻门;亻;pictophonetic;门;亻;1169853;15,928251681
中;14;291;152;central/ center, middle/ amidst/ to hit (target), to attain/ China/ Chinese;zhōng;⿻口丨;丨;ideographic;;;1104541;16,499062051
来;15;78;46;to arrive, to come, to return/ in the future, later on;lái;⿻未丷;木;ideographic;;;1079469;17,056915583
上;16;96;56;above, on top, superior/ to go up/ to attend/ previous;shàng;⿱⺊一;一;ideographic;;;1069575;17,609656043
大;17;132;74;big, great, vast, high, deep;dà;⿻一人;大;ideographic;;;1054064;18,15438065
为;18;100;59;to do, to act/ to handle, to govern/ to be;wèi;⿻丶⿴力丶;丶;;;;1039036;18,691339009
和;19;105;62;harmony, peace/ calm, peaceful;hé;⿰禾口;口;pictophonetic;禾;口;1010465;19,2135323
国;20;327;174;country, nation, state/ national;guó;⿴囗玉;囗;ideographic;;;985350;19,722746532
地;21;202;112;earth, ground, soil/ land, region/ structural particle used before a verb;de;⿰土也;土;pictophonetic;也;土;969349;20,223691686
到;22;60;41;to go to, to arrive;dào;⿰至刂;刂;pictophonetic;刂;至;965035;20,722407428
以;23;181;102;according to/ so as to/ because of/ then;yǐ;⿰？人;人;;;;910627;21,193005925
说;24;67;46;to speak, to say/ to scold, to upbraid;shuō;⿰讠兑;讠;pictophonetic;兑;讠;874977;21,645181032
时;25;101;63;time, season/ period, era, age;shí;⿰日寸;日;pictophonetic;;日;833532;22,075937979
要;26;41;34;essential, necessary/ to ask for/ to coerce/ to demand;yào;⿱覀女;覀;ideographic;;;811011;22,495056408
就;27;50;38;just, simply/ to go to/ to approach, near;jiù;⿰京尤;尢;pictophonetic;京;尤;771108;22,893553559
出;28;122;75;to go out, to send out/ stand/ produce;chū;⿱屮凵;凵;ideographic;;;755256;23,283858633
会;29;44;36;to assemble, to meet/ meeting/ association, group;huì;⿱人云;人;ideographic;;;734888;23,663637827
可;30;84;57;may, can, -able/ possibly;kě;⿻丁口;口;pictophonetic;口;丁;723108;24,037329292
也;31;25;28;also, too;yě;⿻？乚;乚;;;;710259;24,404380585
你;32;14;23;you, second person pronoun;nǐ;⿰亻尔;亻;ideographic;;;705205;24,768820046
对;33;95;64;correct, right/ facing, opposed;duì;⿰又寸;寸;ideographic;;;703632;25,132446604
生;34;163;98;life, lifetime/ birth/ growth;shēng;⿻一土;生;ideographic;;;682031;25,484910086
能;35;145;90;can, may/ capable, full of energy;néng;⿰⿱厶⺼⿱匕匕;⺼;pictographic;;;665358;25,82875721
而;36;303;170;and, and then, and yet/ but;ér;？;而;;;;649239;26,164274274
子;37;35;36;son, child/ seed, egg/ fruit/ small thing;zi;⿻了一;子;pictographic;;;640640;26,495347502
那;38;39;38;that, that one, those;nà;⿰⿹？？阝;阝;;;;638538;26,825334449
得;39;88;64;to obtain, to get, to acquire/ suitable, proper/ ready;dé;⿰彳⿱旦寸;彳;ideographic;;;630688;27,151264632
于;40;370;205;at, in, on/ to, from/ alas!;yú;⿻二亅;二;;;;630524;27,477110062
着;41;150;96;to make a move, to take action;zhe;⿸羊目;目;;;;626326;27,800786028
下;42;149;96;below, underneath/ inferior/ to bring down/ next;xià;⿱一卜;一;ideographic;;;621185;28,121805202
自;43;248;146;self/ private, personal/ from;zì;⿻目？;自;pictographic;;;611687;28,437915951
之;44;292;168;marks preceding phrase as modifier of following phrase/ it, him her, them/ to go to;zhī;⿱丶？;丿;ideographic;;;609003;28,752639648
年;45;380;212;year/ anniversary/ a person's age;nián;⿻干？;干;ideographic;;;601887;29,063685902
过;46;90;68;pass/ to go across, to pass through;guò;⿺辶寸;辶;pictophonetic;咼;辶;589925;29,368550373
发;47;257;152;to issue, to dispatch, to send out/ hair;fā;⿸？又;又;;;;572904;29,664618644
后;48;162;105;after/ behind, rear/ descendants;hòu;⿸？口;口;;;;570764;29,959580994
作;49;234;142;to make/ to write, to compose/ to act, to perform;zuò;⿰亻乍;亻;ideographic;;;542791;30,240087314
里;50;160;105;unit of distance equal to 0.5km/ village/ lane;lǐ;⿱田土;里;ideographic;;;537795;30,518011776
用;51;276;164;to use, to employ, to apply/ use;yòng;⿵冂？;用;;;;535480;30,79473988
道;52;76;64;method, way/ path, road;dào;⿺辶首;辶;pictophonetic;首;辶;534695;31,071062307
行;53;311;182;to go, to walk, to move/ professional;xíng;⿰彳亍;行;ideographic;;;531848;31,345913448
所;54;174;114;"place, location/ ""that which"", a particle introducing a passive clause";suǒ;⿰户斤;户;ideographic;;;523028;31,616206543
然;55;183;119;certainly/ naturally/ suddenly;rán;⿱肰灬;灬;pictophonetic;肰;灬;511026;31,880297183
家;56;159;108;house, home, residence/ family;jiā;⿱宀豕;宀;pictophonetic;豕;宀;509790;32,143749077
种;57;318;188;race, kind, breed/ seed/ to plant;zhǒng;⿰禾中;禾;pictophonetic;中;禾;503344;32,403869774
事;58;188;123;affair, matter, business/ to serve/ accident, incident;shì;⿻⿳一口彐亅;亅;;;;499172;32,661834443
